Id,SalePrice
1461,115529.734
1462,162775.38
1463,186194.58
1464,190027.77
1465,179529.73
1466,170518.03
1467,175048.6
1468,167744.8
1469,192768.58
1470,127144.195
1471,199475.97
1472,98691.63
1473,99847.52
1474,153422.58
1475,121378.57
1476,382154.47
1477,258705.61
1478,288423.9
1479,279187.38
1480,495462.6
1481,324344.7
1482,211948.61
1483,164232.16
1484,161919.73
1485,175367.61
1486,193573.11
1487,368589.72
1488,226813.98
1489,209487.23
1490,230529.42
1491,185860.2
1492,85790.41
1493,183089.69
1494,304647.88
1495,280507.03
1496,240702.88
1497,182407.8
1498,164726.81
1499,161404.05
1500,156118.88
1501,178816.58
1502,148893.19
1503,319747.8
1504,245704.42
1505,225417.33
1506,186181.16
1507,242702.42
1508,193552.12
1509,158130.72
1510,146511.94
1511,139378.52
1512,171708.38
1513,144332.0
1514,165128.88
1515,210249.75
1516,151935.38
1517,178769.48
1518,132910.2
1519,229404.06
1520,131387.44
1521,133598.05
1522,178715.56
1523,112438.26
1524,121913.66
1525,120596.71
1526,112847.41
1527,108349.29
1528,141101.67
1529,148650.05
1530,171034.14
1531,113821.6
1532,96879.625
1533,147644.05
1534,123207.85
1535,156498.58
1536,106181.27
1537,63790.93
1538,170850.95
1539,191696.64
1540,117180.18
1541,146999.77
1542,139097.97
1543,213047.2
1544,79353.48
1545,113414.445
1546,129599.23
1547,131213.34
1548,143835.56
1549,126955.66
1550,142002.0
1551,119020.13
1552,144286.33
1553,159589.89
1554,109038.9
1555,162003.44
1556,80430.086
1557,110079.516
1558,100405.21
1559,96661.08
1560,129398.7
1561,147366.78
1562,132327.75
1563,126825.96
1564,156462.5
1565,151071.72
1566,234158.6
1567,72041.75
1568,216426.75
1569,127297.65
1570,137303.11
1571,128887.49
1572,152083.67
1573,270305.7
1574,113267.35
1575,218195.81
1576,238376.97
1577,191489.28
1578,150175.83
1579,149038.77
1580,199114.66
1581,157020.6
1582,128138.26
1583,312810.2
1584,213133.48
1585,140238.88
1586,67104.65
1587,93385.04
1588,154819.11
1589,112817.77
1590,127734.945
1591,90160.91
1592,121713.51
1593,133830.9
1594,145779.67
1595,109835.53
1596,243288.36
1597,175189.66
1598,215198.84
1599,187477.52
1600,177568.36
1601,69042.2
1602,115380.805
1603,91612.125
1604,273255.28
1605,239006.55
1606,170198.12
1607,157337.89
1608,207310.11
1609,189766.64
1610,155618.31
1611,140509.86
1612,174191.73
1613,159437.58
1614,130452.65
1615,97568.836
1616,70190.44
1617,94597.31
1618,125391.57
1619,132661.08
1620,171522.77
1621,139147.17
1622,132689.05
1623,270005.84
1624,206296.6
1625,121375.586
1626,171927.62
1627,190631.03
1628,267200.78
1629,181565.16
1630,391174.03
1631,225909.48
1632,227333.64
1633,168581.55
1634,188952.69
1635,176856.77
1636,159216.17
1637,206217.19
1638,186897.97
1639,184832.8
1640,259991.5
1641,175843.94
1642,228619.05
1643,220789.77
1644,229596.3
1645,199313.53
1646,159986.72
1647,160337.0
1648,127442.69
1649,139901.19
1650,119763.98
1651,133463.97
1652,97553.29
1653,99144.195
1654,147246.33
1655,140909.97
1656,143665.73
1657,147660.52
1658,147333.66
1659,126275.82
1660,154146.89
1661,471037.25
1662,428801.12
1663,410138.62
1664,416819.47
1665,331574.5
1666,326584.3
1667,377051.3
1668,340479.56
1669,298970.4
1670,356364.62
1671,261239.62
1672,472827.6
1673,309419.6
1674,255030.08
1675,186281.44
1676,191495.64
1677,220337.77
1678,521953.56
1679,376986.62
1680,337090.72
1681,270458.34
1682,302213.9
1683,172762.5
1684,168741.16
1685,168576.11
1686,164180.16
1687,161790.34
1688,189214.42
1689,195522.83
1690,194007.1
1691,179346.64
1692,278045.78
1693,163273.92
1694,185181.67
1695,167015.0
1696,261207.05
1697,175370.02
1698,374855.94
1699,302346.4
1700,233066.4
1701,263042.78
1702,249839.8
1703,240655.64
1704,289053.7
1705,241651.08
1706,498221.12
1707,226029.67
1708,206996.9
1709,281889.4
1710,229834.8
1711,253163.83
1712,243851.05
1713,272807.0
1714,222565.03
1715,214981.02
1716,192082.19
1717,175558.89
1718,135597.55
1719,208644.77
1720,249200.67
1721,166689.4
1722,126511.35
1723,158971.31
1724,222400.66
1725,237995.62
1726,186251.81
1727,156727.78
1728,175796.94
1729,163090.86
1730,160700.0
1731,119912.2
1732,133032.89
1733,117407.05
1734,128402.05
1735,131540.67
1736,113661.64
1737,331440.03
1738,216496.44
1739,277886.84
1740,213512.86
1741,199745.83
1742,170310.03
1743,178431.6
1744,306101.03
1745,223760.72
1746,193107.66
1747,209717.44
1748,224650.25
1749,147456.05
1750,130492.766
1751,237542.45
1752,120696.96
1753,151496.36
1754,202100.62
1755,163250.11
1756,138360.72
1757,124259.04
1758,150095.98
1759,164500.36
1760,166312.23
1761,144893.27
1762,186897.4
1763,178106.69
1764,114004.83
1765,183830.86
1766,179692.42
1767,220817.22
1768,152470.31
1769,176334.53
1770,145558.1
1771,137183.45
1772,137528.45
1773,136877.62
1774,144977.52
1775,143239.88
1776,121407.79
1777,110965.13
1778,139502.81
1779,115023.836
1780,179849.83
1781,130421.266
1782,88087.72
1783,139312.06
1784,101817.43
1785,131369.98
1786,156371.95
1787,160068.9
1788,56822.477
1789,108780.53
1790,64144.65
1791,177490.62
1792,162572.55
1793,126646.03
1794,151061.33
1795,136158.81
1796,124195.44
1797,111171.82
1798,128744.67
1799,111367.78
1800,134062.23
1801,138196.14
1802,141902.52
1803,152627.78
1804,139994.83
1805,140433.11
1806,116450.58
1807,139049.69
1808,124910.42
1809,122785.766
1810,146532.0
1811,93335.195
1812,99605.89
1813,124939.125
1814,85439.625
1815,47833.617
1816,92210.305
1817,113321.56
1818,156737.97
1819,127940.95
1820,59090.664
1821,108955.805
1822,145184.08
1823,41647.04
1824,141937.02
1825,137740.2
1826,103751.08
1827,100704.81
1828,149932.39
1829,125691.05
1830,137517.53
1831,168845.64
1832,83877.766
1833,149544.8
1834,111179.88
1835,138911.36
1836,124482.914
1837,83290.664
1838,113070.69
1839,91997.3
1840,168193.1
1841,150573.95
1842,85785.27
1843,125186.82
1844,142491.61
1845,141015.3
1846,149167.31
1847,169219.53
1848,46376.71
1849,110121.54
1850,120695.22
1851,153232.45
1852,127717.086
1853,115967.664
1854,168065.47
1855,131632.27
1856,219354.11
1857,171695.44
1858,125910.04
1859,119804.086
1860,141393.05
1861,117905.12
1862,334847.62
1863,318338.4
1864,318338.4
1865,352297.97
1866,345069.25
1867,248799.75
1868,310532.7
1869,191790.45
1870,249767.55
1871,260663.88
1872,170649.4
1873,228874.7
1874,148676.83
1875,201016.11
1876,193461.73
1877,215136.78
1878,216725.56
1879,127853.164
1880,136356.06
1881,231271.3
1882,247870.88
1883,188898.42
1884,210013.58
1885,242003.5
1886,301221.0
1887,211453.62
1888,279582.25
1889,160928.7
1890,119404.8
1891,140990.9
1892,101847.78
1893,117999.69
1894,118417.484
1895,140787.69
1896,126869.56
1897,110731.95
1898,107443.836
1899,157332.19
1900,159999.3
1901,164914.05
1902,143244.73
1903,212193.88
1904,148790.44
1905,190894.22
1906,189486.53
1907,196310.97
1908,116383.54
1909,131268.9
1910,116938.336
1911,218045.0
1912,300029.78
1913,131740.98
1914,82446.1
1915,350290.25
1916,67270.75
1917,254758.61
1918,149209.22
1919,164012.08
1920,132631.0
1921,443634.06
1922,356468.7
1923,211417.83
1924,230913.58
1925,200475.27
1926,413009.62
1927,131524.19
1928,146560.72
1929,123883.51
1930,125597.27
1931,145579.6
1932,139872.05
1933,192952.72
1934,182117.4
1935,174032.86
1936,192846.34
1937,181488.73
1938,178329.94
1939,246725.67
1940,177743.5
1941,172098.28
1942,178564.7
1943,213393.06
1944,348755.88
1945,390662.22
1946,142807.33
1947,309937.5
1948,180479.66
1949,237531.58
1950,177942.03
1951,252542.22
1952,217332.42
1953,166687.6
1954,186076.84
1955,135317.75
1956,268066.62
1957,159012.22
1958,310274.97
1959,131868.28
1960,118212.125
1961,117839.17
1962,97289.57
1963,110626.18
1964,109150.04
1965,140351.69
1966,136484.28
1967,291157.56
1968,433699.4
1969,418217.75
1970,455434.72
1971,467045.97
1972,368686.84
1973,255375.92
1974,319954.8
1975,469893.3
1976,271349.8
1977,357298.97
1978,396095.5
1979,321052.94
1980,189140.72
1981,332301.34
1982,227899.08
1983,211689.7
1984,160812.58
1985,215251.86
1986,209870.22
1987,179351.33
1988,174098.81
1989,192807.55
1990,213700.45
1991,240325.7
1992,216628.67
1993,160577.1
1994,243721.02
1995,190389.72
1996,253733.31
1997,322406.3
1998,330575.88
1999,267644.84
2000,316698.03
2001,252241.78
2002,233468.77
2003,256289.4
2004,270478.34
2005,229055.61
2006,232493.23
2007,235818.6
2008,224118.3
2009,190134.7
2010,196963.7
2011,145363.03
2012,172689.78
2013,183514.81
2014,183724.97
2015,205566.62
2016,196181.25
2017,195686.38
2018,114467.74
2019,133704.38
2020,116393.41
2021,104410.05
2022,178124.45
2023,134549.77
2024,264176.84
2025,362400.72
2026,168439.44
2027,159647.34
2028,151002.53
2029,173499.89
2030,272603.5
2031,254494.0
2032,271310.12
2033,278203.84
2034,163480.69
2035,218456.73
2036,195718.42
2037,199247.83
2038,328602.94
2039,242691.88
2040,338071.84
2041,263429.56
2042,210403.75
2043,170397.5
2044,190464.5
2045,206012.66
2046,137664.1
2047,145770.98
2048,145511.62
2049,130905.23
2050,175827.62
2051,114480.79
2052,130711.72
2053,149891.56
2054,91857.12
2055,165056.44
2056,137236.77
